x	f(x)	z
9.310000	4.422257	0.225053
9.320000	4.424507	0.224938
9.330000	4.426757	0.224824
9.340000	4.429005	0.224710
9.350000	4.431252	0.224596
9.360000	4.433498	0.224482
9.370000	4.435743	0.224368
9.380000	4.437987	0.224255
9.390000	4.440229	0.224141
9.400000	4.442470	0.224028
9.410000	4.444711	0.223915
9.420000	4.446950	0.223802
9.430000	4.449188	0.223690
9.440000	4.451425	0.223577
9.450000	4.453661	0.223465
9.460000	4.455895	0.223353
9.470000	4.458129	0.223241
9.480000	4.460361	0.223129
9.490000	4.462592	0.223017
9.500000	4.464823	0.222906
9.510000	4.467052	0.222795
9.520000	4.469280	0.222684
9.530000	4.471506	0.222573
9.540000	4.473732	0.222462
9.550000	4.475957	0.222351
9.560000	4.478180	0.222241
9.570000	4.480403	0.222130
9.580000	4.482624	0.222020
9.590000	4.484844	0.221910
9.600000	4.487063	0.221801
9.610000	4.489281	0.221691
9.620000	4.491498	0.221581
9.630000	4.493714	0.221472
9.640000	4.495929	0.221363
9.650000	4.498142	0.221254
9.660000	4.500355	0.221145
9.670000	4.502566	0.221037
9.680000	4.504777	0.220928
9.690000	4.506986	0.220820
9.700000	4.509194	0.220711
9.710000	4.511401	0.220603
9.720000	4.513607	0.220496
9.730000	4.515812	0.220388
9.740000	4.518016	0.220280
9.750000	4.520219	0.220173
9.760000	4.522421	0.220066
9.770000	4.524621	0.219959
9.780000	4.526821	0.219852
9.790000	4.529020	0.219745
9.800000	4.531217	0.219638
9.810000	4.533413	0.219532
9.820000	4.535609	0.219425
9.830000	4.537803	0.219319
9.840000	4.539996	0.219213
9.850000	4.542188	0.219107
9.860000	4.544379	0.219002
9.870000	4.546569	0.218896
9.880000	4.548758	0.218791
9.890000	4.550946	0.218686
9.900000	4.553133	0.218581
9.910000	4.555319	0.218476
9.920000	4.557504	0.218371
9.930000	4.559687	0.218266
9.940000	4.561870	0.218162
9.950000	4.564052	0.218057
9.960000	4.566232	0.217953
9.970000	4.568412	0.217849
9.980000	4.570590	0.217745
9.990000	4.572768	0.217642
