x	f(x)	z
2.120000	2.288080	0.435271
2.130000	2.292432	0.434443
2.140000	2.296777	0.433620
2.150000	2.301113	0.432801
2.160000	2.305441	0.431987
2.170000	2.309761	0.431178
2.180000	2.314073	0.430373
2.190000	2.318376	0.429572
2.200000	2.322672	0.428776
2.210000	2.326960	0.427985
2.220000	2.331240	0.427198
2.230000	2.335512	0.426415
2.240000	2.339776	0.425636
2.250000	2.344032	0.424862
2.260000	2.348281	0.424092
2.270000	2.352522	0.423326
2.280000	2.356755	0.422564
2.290000	2.360981	0.421807
2.300000	2.365199	0.421053
2.310000	2.369409	0.420303
2.320000	2.373612	0.419558
2.330000	2.377808	0.418816
2.340000	2.381996	0.418079
2.350000	2.386177	0.417345
2.360000	2.390350	0.416615
2.370000	2.394517	0.415889
2.380000	2.398675	0.415166
2.390000	2.402827	0.414448
2.400000	2.406972	0.413733
2.410000	2.411109	0.413022
2.420000	2.415239	0.412314
2.430000	2.419362	0.411610
2.440000	2.423478	0.410910
2.450000	2.427587	0.410213
2.460000	2.431690	0.409520
2.470000	2.435785	0.408831
2.480000	2.439873	0.408144
2.490000	2.443955	0.407462
2.500000	2.448029	0.406782
2.510000	2.452097	0.406106
2.520000	2.456158	0.405434
2.530000	2.460212	0.404765
2.540000	2.464260	0.404099
2.550000	2.468301	0.403436
2.560000	2.472335	0.402777
2.570000	2.476363	0.402120
2.580000	2.480384	0.401467
2.590000	2.484399	0.400818
2.600000	2.488407	0.400171
2.610000	2.492409	0.399527
2.620000	2.496404	0.398887
2.630000	2.500393	0.398250
2.640000	2.504376	0.397615
2.650000	2.508352	0.396984
2.660000	2.512322	0.396356
2.670000	2.516285	0.395730
2.680000	2.520242	0.395108
2.690000	2.524193	0.394489
2.700000	2.528138	0.393872
2.710000	2.532077	0.393259
2.720000	2.536010	0.392648
2.730000	2.539936	0.392040
2.740000	2.543857	0.391435
2.750000	2.547771	0.390832
2.760000	2.551679	0.390233
2.770000	2.555582	0.389636
2.780000	2.559478	0.389042
2.790000	2.563368	0.388451
2.800000	2.567253	0.387862
2.810000	2.571131	0.387276
2.820000	2.575004	0.386693
2.830000	2.578871	0.386112
2.840000	2.582732	0.385534
2.850000	2.586588	0.384958
2.860000	2.590437	0.384385
2.870000	2.594281	0.383815
2.880000	2.598119	0.383247
2.890000	2.601952	0.382682
2.900000	2.605778	0.382119
2.910000	2.609600	0.381559
2.920000	2.613415	0.381001
2.930000	2.617225	0.380445
2.940000	2.621030	0.379892
2.950000	2.624829	0.379342
2.960000	2.628622	0.378794
2.970000	2.632410	0.378248
2.980000	2.636192	0.377704
2.990000	2.639970	0.377163
3.000000	2.643741	0.376624
3.010000	2.647507	0.376088
3.020000	2.651268	0.375553
3.030000	2.655024	0.375021
3.040000	2.658774	0.374492
3.050000	2.662519	0.373964
3.060000	2.666259	0.373439
3.070000	2.669993	0.372916
3.080000	2.673722	0.372395
3.090000	2.677446	0.371876
3.100000	2.681165	0.371360
3.110000	2.684878	0.370846
3.120000	2.688587	0.370333
3.130000	2.692290	0.369823
3.140000	2.695988	0.369315
3.150000	2.699682	0.368809
3.160000	2.703370	0.368305
3.170000	2.707053	0.367804
3.180000	2.710731	0.367304
3.190000	2.714404	0.366806
3.200000	2.718072	0.366311
3.210000	2.721735	0.365817
3.220000	2.725393	0.365325
3.230000	2.729046	0.364836
3.240000	2.732695	0.364348
3.250000	2.736338	0.363862
3.260000	2.739977	0.363378
3.270000	2.743611	0.362896
3.280000	2.747240	0.362416
3.290000	2.750864	0.361938
3.300000	2.754483	0.361462
3.310000	2.758098	0.360988
3.320000	2.761708	0.360515
3.330000	2.765313	0.360045
